Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Romero, William	CD Chivas USA	CD Chivas USA	FC Dallas 96	6/26/2010	58		LGE	Trujillo, Mariano		
Jazic, Ante	FC Dallas 96	CD Chivas USA	FC Dallas 96	6/26/2010	44	Own Goal	LGE			
Ferreira, David Arturo	FC Dallas 96	CD Chivas USA	FC Dallas 96	6/26/2010	60	Penalty	LGE			
Gavin, Blair	CD Chivas USA	CD Chivas USA	Philadephia Union	7/3/2010	41		LGE			
Mwanga, Danny	Philadephia Union	CD Chivas USA	Philadephia Union	7/3/2010	20		LGE	Le Toux, Sebastien	Torres, Roger	
Grabavoy, Ned	Real Salt Lake	Real Salt Lake	CD Chivas USA	7/24/2010	67		LGE			
Padilla Cisneros, Jesus Andres	CD Chivas USA	Real Salt Lake	CD Chivas USA	7/24/2010	69		LGE			
Cunningham, Jeff	FC Dallas 96	FC Dallas 96	Columbus Crew	4/10/2010	29	Penalty	LGE			
Avila, Eric	FC Dallas 96	FC Dallas 96	Columbus Crew	4/10/2010	90		LGE			
Moffat, Adam	Columbus Crew	FC Dallas 96	Columbus Crew	4/10/2010	52		LGE	Lenhart, Steve	Hejduk, Frankie	
Schelotto, Guillermo Barros	Columbus Crew	FC Dallas 96	Columbus Crew	4/10/2010	82		LGE			
Schilawski, Zack	New England Revolution	New England Revolution	Toronto FC	4/10/2010	47		LGE			
Schilawski, Zack	New England Revolution	New England Revolution	Toronto FC	4/10/2010	51		LGE			
Schilawski, Zack	New England Revolution	New England Revolution	Toronto FC	4/10/2010	58		LGE			
Nyassi, Sainey	New England Revolution	New England Revolution	Toronto FC	4/10/2010	66		LGE			
De Rosario, Dwayne	Toronto FC	New England Revolution	Toronto FC	4/10/2010	28		LGE	Garcia, Nick		
Le Toux, Sebastien	Philadephia Union	Philadephia Union	D.C. United	4/10/2010	4		LGE	Torres, Roger	Moreno, Alejandro	
Le Toux, Sebastien	Philadephia Union	Philadephia Union	D.C. United	4/10/2010	40		LGE	Moreno, Alejandro		
Le Toux, Sebastien	Philadephia Union	Philadephia Union	D.C. United	4/10/2010	80		LGE			
Quaranta, Santino	D.C. United	Philadephia Union	D.C. United	4/10/2010	63		LGE			
Moreno, Jaime	D.C. United	Philadephia Union	D.C. United	4/10/2010	70		LGE			
Johnson, Will	Real Salt Lake	Real Salt Lake	Seattle Sounders	4/10/2010	53		LGE	Russell, Robbie	Findley, Robbie	
Saborio, Alvaro	Real Salt Lake	Real Salt Lake	Seattle Sounders	4/10/2010	90		LGE	Gonzalez, Nelson		
Zakuani, Steve	Seattle Sounders	Real Salt Lake	Seattle Sounders	4/10/2010	12		LGE	Riley, James		
Marshall, Tyrone	Seattle Sounders	Real Salt Lake	Seattle Sounders	4/10/2010	72		LGE	Ljungberg, Fredrik		
De Rosario, Dwayne	Toronto FC	Toronto FC	Philadephia Union	4/15/2010	35		LGE			
De Rosario, Dwayne	Toronto FC	Toronto FC	Philadephia Union	4/15/2010	80	Penalty	LGE			
Harvey, Jordan	Philadephia Union	Toronto FC	Philadephia Union	4/15/2010	45		LGE	Torres, Roger	Le Toux, Sebastien	
Pappa, Marco	Chicago Fire	D.C. United	Chicago Fire	4/17/2010	80		LGE	McBride, Brian	Nyarko, Patrick	
McBride, Brian	Chicago Fire	D.C. United	Chicago Fire	4/17/2010	90		LGE	Dykstra, Andrew		
Angel, Juan Pablo	New York Red Bulls	New York Red Bulls	FC Dallas 96	4/17/2010	56		LGE			
Angel, Juan Pablo	New York Red Bulls	New York Red Bulls	FC Dallas 96	4/17/2010	90	Penalty	LGE			
McCarty, Dax	FC Dallas 96	New York Red Bulls	FC Dallas 96	4/17/2010	10		LGE	Pearce, Heath	Ferreira, David Arturo	
Wondolowski, Chris	San Jose Earthquakes	San Jose Earthquakes	New England Revolution	4/17/2010	57		LGE	Johnson, Ryan	Gjertsen, Joey	
Opara, Ike	San Jose Earthquakes	San Jose Earthquakes	New England Revolution	4/17/2010	71		LGE	Convey, Bobby		
Casey, Conor	Colorado Rapids	Colorado Rapids	Toronto FC	4/18/2010	24	Penalty	LGE			
Larentowicz, Jeff	Colorado Rapids	Colorado Rapids	Toronto FC	4/18/2010	71		LGE			
Casey, Conor	Colorado Rapids	Colorado Rapids	Toronto FC	4/18/2010	85	Penalty	LGE			
De Rosario, Dwayne	Toronto FC	Colorado Rapids	Toronto FC	4/18/2010	58	Penalty	LGE			
Cunningham, Jeff	FC Dallas 96	FC Dallas 96	Seattle Sounders	4/22/2010	26	Penalty	LGE			
Cunningham, Jeff	FC Dallas 96	FC Dallas 96	Seattle Sounders	4/22/2010	90	Penalty	LGE			
Zakuani, Steve	Seattle Sounders	FC Dallas 96	Seattle Sounders	4/22/2010	38		LGE	Alonso, Osvaldo		
Montero, Fredy	Seattle Sounders	FC Dallas 96	Seattle Sounders	4/22/2010	54		LGE			
Husidic, Baggio	Chicago Fire	Chicago Fire	Houston Dynamo	4/24/2010	45		LGE			
Lowry, Peter	Chicago Fire	Chicago Fire	Houston Dynamo	4/24/2010	67		LGE	Nyarko, Patrick		
Schelotto, Guillermo Barros	Columbus Crew	Columbus Crew	Real Salt Lake	4/24/2010	38	Penalty	LGE			
Perovic, Marko	New England Revolution	New England Revolution	Colorado Rapids	4/24/2010	18		LGE			
