Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Mella	San Jose Earthquakes	San Jose Earthquakes	Morelia - Mexico	7/10/1998	62	Penalty	FDLY			
Wynalda, Eric	San Jose Earthquakes	San Jose Earthquakes	Morelia - Mexico	7/10/1998	35	Penalty	FDLY			
Burns, Mike	New England Revolution	New England Revolution	Modena - Italy	2/25/1999	31		FDLY			
Podbrozny, Jerzy	Chicago Fire	Chicago Fire	Legia-Daewoo Warsaw - Poland	6/16/1999	57		FDLY	Tinsley, Ryan		
Kubik, Lubos	Chicago Fire	Chicago Fire	Legia-Daewoo Warsaw - Poland	6/16/1999	11		FDLY			
Marsch, Jesse	Chicago Fire	Chicago Fire	Legia-Daewoo Warsaw - Poland	6/16/1999	29		FDLY	Kosecki, Roman		
Razov, Ante	Chicago Fire	Chicago Fire	Derby County - England	7/20/1999	24		FDLY	Podbrozny, Jerzy		
Beasley, Jamar	New England Revolution	New England Revolution	Ajax - Netherlands	7/21/1999	56		FDLY	Gori, Mario		
Tinsley, Ryan	San Jose Earthquakes	San Jose Earthquakes	UNAM - Mexico	8/25/1999	4		FDLY	Bower, Scott		
Sequeira	San Jose Earthquakes	San Jose Earthquakes	UNAM - Mexico	8/25/1999	60	Penalty	FDLY			
Clark, Jamie	UNAM - Mexico	San Jose Earthquakes	UNAM - Mexico	8/25/1999	70	Own Goal	FDLY			
Wynalda, Eric	Miami Fusion	Miami Fusion	Haiti NT	9/22/1999	0		FDLY			
Ramos, Mauricio	New England Revolution	Tapatio - Mexico	New England Revolution	3/9/2000	50		FDLY	Sunsing, William		
Eyre, Adam	New England Revolution	Tapatio - Mexico	New England Revolution	3/9/2000	54		FDLY	Ramos, Mauricio		
Heaps, Jay	Miami Fusion	Miami Fusion	Haiti NT	4/18/2000	65		FDLY	Machon, Martin		
Serna, Diego	Miami Fusion	Miami Fusion	Haiti NT	4/18/2000	76	Penalty	FDLY			
Wolff, Josh	Chicago Fire	Chicago Fire	Toluca - Mexico	5/10/2000	25		FDLY	Gutierrez, Diego		
Beasley, DaMarcus	Chicago Fire	Chicago Fire	Toluca - Mexico	5/10/2000	90		FDLY	Brown, CJ		
Wolff, Josh	Chicago Fire	Chicago Fire	Toluca - Mexico	5/10/2000	11		FDLY	Beasley, DaMarcus		
Elcock, Ansil	Columbus Crew	Columbus Crew	Hamburg SV - Germany	5/24/2000	53		FDLY	Warzycha, Robert		
Clark, Mike	Columbus Crew	Columbus Crew	Hamburg SV - Germany	5/24/2000	23		FDLY	McBride, Brian		
Gori, Mario	Columbus Crew	Columbus Crew	Hamburg SV - Germany	5/24/2000	56		FDLY	Farrell, Jason		
Washington, Dante	Columbus Crew	Columbus Crew	Hamburg SV - Germany	5/24/2000	6		FDLY			
Wolyniec, John	Chicago Fire	Chicago Fire	Hamburg SV - Germany	5/29/2000	72		FDLY	Beasley, DaMarcus		
Stoitchkov, Hristo	Chicago Fire	Chicago Fire	Hamburg SV - Germany	5/29/2000	2		FDLY	Soehn, Tommy		
Whitfield, Evan	Chicago Fire	Chicago Fire	Hamburg SV - Germany	5/29/2000	20		FDLY	Sorber, Mike		
Wolyniec, John	Chicago Fire	Chicago Fire	Hamburg SV - Germany	5/29/2000	50		FDLY	Wolff, Josh		
Moreno, Jaime	DC United	DC United	Newcastle United - England	7/22/2000	29		FDLY	Convey, Bobby		
Llamosa, Carlos	DC United	DC United	Newcastle United - England	7/22/2000	33		FDLY	Albright, Chris		
Marino, Pete	DC United	DC United	Newcastle United - England	7/22/2000	50		FDLY	Convey, Bobby		
Cunningham, Jeff	Columbus Crew	Columbus Crew	Newcastle United - England	7/26/2000	84		FDLY	Joseph, Miles		
Joseph, Miles	Columbus Crew	Columbus Crew	Newcastle United - England	7/26/2000	67		FDLY			
Graziani, Ariel	Dallas Burn	Dallas Burn	Atlas - Mexico	11/3/2000	68		FDLY			
Graziani, Ariel	Dallas Burn	Dallas Burn	Atlas - Mexico	11/3/2000	52		FDLY	Rodriguez, Jorge		
Pareja, Oscar	Dallas Burn	Dallas Burn	Bachilleres - Mexico	11/6/2000	36		FDLY	Deering, Chad		
Califf, Danny	Los Angeles Galaxy	Los Angeles Galaxy	Puebla - Mexico	12/12/2000	46		FDLY	Jones, Cobi		
Albright, Chris	DC United	Nacional de Tijuana - Mexico	DC United	1/11/2001	55		FDLY	Convey, Bobby		
Lagos, Manny	Tampa Bay Mutiny	Tampa Bay Mutiny	Celtic Glasgow - Scotland	1/19/2001	31		FDLY	Valderrama, Carlos		
Ralston, Steve	Tampa Bay Mutiny	Tampa Bay Mutiny	Celtic Glasgow - Scotland	1/19/2001	15		FDLY	Valderrama, Carlos		
Williams, Andy	Miami Fusion	Miami Fusion	Glasgow Rangers - Scotland	1/20/2001	27		FDLY	Welton		
Dunseth, Brian	New England Revolution	San Lorenzo - Costa Rica	New England Revolution	2/18/2001	50		FDLY	Torres, Johnny		
Harris, Wolde	New England Revolution	San Lorenzo - Costa Rica	New England Revolution	2/18/2001	5		FDLY	Alvarez, Leonel		
Kartes, Gus	Tampa Bay Mutiny	Millonarios - Colombia	Tampa Bay Mutiny	2/23/2001	55		FDLY	McCarty, Chad		
Ralston, Steve	Tampa Bay Mutiny	Millonarios - Colombia	Tampa Bay Mutiny	2/23/2001	11		FDLY	Valderrama, Carlos		
Mullan, Brian	Los Angeles Galaxy	Magallanes - Chile	Los Angeles Galaxy	2/19/2002	40		FDLY	Hendrickson, Ezra		
Albright, Chris	Los Angeles Galaxy	Magallanes - Chile	Los Angeles Galaxy	2/19/2002	10		FDLY	Bardales, Isaias		
Ruiz, Carlos	Los Angeles Galaxy	Magallanes - Chile	Los Angeles Galaxy	2/19/2002	41		FDLY	Victorine, Sasha		
Albright, Chris	Los Angeles Galaxy	Colo Colo - Chile	Los Angeles Galaxy	2/21/2002	51		FDLY	Ruiz, Carlos		
Ruiz, Carlos	Los Angeles Galaxy	Colo Colo - Chile	Los Angeles Galaxy	2/21/2002	35		FDLY	Albright, Chris		
Albright, Chris	Los Angeles Galaxy	Universidad de Chile - Chile	Los Angeles Galaxy	2/22/2002	5		FDLY	Bengard, Alex		
Wynalda, Eric	Los Angeles Galaxy	Universidad de Chile - Chile	Los Angeles Galaxy	2/22/2002	51	Penalty	FDLY			
Lalas, Alexi	Los Angeles Galaxy	Universidad Catolica - Chile	Los Angeles Galaxy	2/25/2002	47		FDLY			
Ruiz, Carlos	Los Angeles Galaxy	San Felipe - Chile	Los Angeles Galaxy	2/27/2002	75		FDLY	Hendrickson, Ezra		
Cienfuegos, Mauricio	Los Angeles Galaxy	San Felipe - Chile	Los Angeles Galaxy	2/27/2002	23	Penalty	FDLY			
Ruiz, Carlos	Los Angeles Galaxy	San Felipe - Chile	Los Angeles Galaxy	2/27/2002	20		FDLY	Albright, Chris		
Elliott, Simon	Los Angeles Galaxy	Los Angeles Galaxy	Cruz Azul - Mexico	3/12/2002	32		FDLY	Cienfuegos, Mauricio		
Cunningham, Jeff	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	38		FDLY	Leitch, Chris		
Cunningham, Jeff	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	34		FDLY	Maisonneuve, Brian		
Buddle, Edson	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	33		FDLY	Denton, Eric		
Perez, John Wilmar	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	23		FDLY	Cunningham, Jeff		
Cunningham, Jeff	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	1		FDLY	Perez, John Wilmar		
Buddle, Edson	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	45		FDLY	Lapper, Mike		
Washington, Dante	Columbus Crew	Columbus Crew	FC Nurnberg - Germany	5/15/2002	75		FDLY	Buddle, Edson		
