Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Frias, Daniel	El Paso Patriots	El Paso Patriots	New Orleans Shell Shockers	5/13/2006	82		LGE	Cabrera, Paul		
Knight, Simon	New Orleans Shell Shockers	El Paso Patriots	New Orleans Shell Shockers	5/13/2006	23		LGE	Najarro, Roberto		
Oatley, Tom	West Michigan Edge	Ft. Wayne Fever	West Michigan Edge	5/13/2006	57		LGE	Snyder, Dustin		
Oatley, Tom	West Michigan Edge	Ft. Wayne Fever	West Michigan Edge	5/13/2006	90		LGE	Stacy, Jake		
Benitez, Salvador	Northern Virginia Royals	Northern Virginia Royals	West Virginia Chaos	5/13/2006	83		LGE	Husadzinovic, Davorin		
Husadzinovic, Davorin	Northern Virginia Royals	Northern Virginia Royals	West Virginia Chaos	5/13/2006	69		LGE	Chavez, Manuel		
Husadzinovic, Davorin	Northern Virginia Royals	Northern Virginia Royals	West Virginia Chaos	5/13/2006	54		LGE	Chang, Julian		
Slisko, Igor	West Virginia Chaos	Northern Virginia Royals	West Virginia Chaos	5/13/2006	63		LGE	Whalley, Chris		
Sternberger, Adam	Ocean City Barons	Ocean City Barons	Williamsburg Legacy	5/13/2006	3		LGE			
Mackenzie, Ross	Williamsburg Legacy	Ocean City Barons	Williamsburg Legacy	5/13/2006	88		LGE			
Trejo, Brock	BYU Cougars	Ogden Outlaws	BYU Cougars	5/13/2006	71		LGE			
Codeceira-Lopes, Fabricio	Fresno Fuego	San Diego Gauchos	Fresno Fuego	5/13/2006	90		LGE			
Alvarado, Adrian	Fresno Fuego	San Diego Gauchos	Fresno Fuego	5/13/2006	77		LGE	Aguilera-Navarro, Santiago		
Moran, Paul	Fresno Fuego	San Diego Gauchos	Fresno Fuego	5/13/2006	65		LGE	Nunez, Avery		
Aguilera-Navarro, Santiago	Fresno Fuego	San Diego Gauchos	Fresno Fuego	5/13/2006	37		LGE	Codeceira-Lopes, Fabricio		
