Player	Team-For	Home-Team	Away-Team	Date	Goal-Time	Goal-Type	Comp	Assist	Assist2	
Herrera, Victor	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	2		CQ			
Noel, Fabrice	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	11		CQ			
Noel, Fabrice	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	45		CQ			
Noel, Fabrice	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	47		CQ			
Noel, Fabrice	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	48		CQ			
Zapata, Alberto	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	45		CQ			
Zapata, Alberto	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	51		CQ			
Zapata, Alberto	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	74		CQ			
Velez, Marco	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	72		CQ			
Delgado, Alberto	Puerto Rico Islanders - USL	HitachiCentre SAP FC - Antigua	Puerto Rico Islanders - USL	11/6/2007	88		CQ			
Delgado, Noah	Puerto Rico Islanders - USL	Harbour View FC -- Jamaica	Puerto Rico Islanders - USL	11/4/2007	7		CQ			
Delgado, Noah	Puerto Rico Islanders - USL	Harbour View FC -- Jamaica	Puerto Rico Islanders - USL	11/4/2007	14		CQ			
Moreno, Jaime	DC United	CD Guadalajara -- Mexico	DC United	4/3/2007	35		CCC			
Emilio, Luciano	DC United	DC United	CD Guadalajara -- Mexico	3/15/2007	90		CCC			
Mullan, Brian	Houston Dynamo	Pachuca-- Mexico	Houston Dynamo	4/5/2007	53		CCC			
Ching, Brian	Houston Dynamo	Pachuca-- Mexico	Houston Dynamo	4/5/2007	78		CCC			
Ching, Brian	Houston Dynamo	Houston Dynamo	Pachuca-- Mexico	3/15/2007	57		CCC			
Wondolowski, Chris	Houston Dynamo	Houston Dynamo	Pachuca-- Mexico	3/15/2007	84		CCC			
