Competition: USL Premier Developmental League   
Season: 2008

Date: 4/26/2008
1930; St. Louis Lions; 1-3; Thunder Bay Chill; Chapples Park
1930; New Hampshire Phantoms; 0-1; Vermont Voltage; Collins-Perley Sports Complex
1930; Toronto Lynx; 1-4; Fort Wayne Fever; Hefner Stadium
1930; Central Florida Kraze; 3-3; Carolina Dynamo; Macpherson Stadium
1930; Indiana Invaders; 2-0; Cincinnati Kings; Town & Country Sports Complex
1930; Newark Ironbound Express; 3-3; Long Island Rough Riders; Tully Park
1930; Kansas City Brass; 0-1; Des Moines Menace; Valley Stadium
2000; Bradenton Academics; 0-1; Panama City Pirates; Gavlak Stadium
2000; Michigan Bucks; 3-1; Kalamazoo Outrage; Mayors Riverfront Park Mayors Riverfront
2000; DFW Tornados; 0-0; Baton Rouge Capitals; Olympia Stadium
2130; Ogden Outlaws; 0-1; Abbotsford Mariners; Bateman Park
2130; Laredo Heat; 1-2; El Paso Patriots; Patriot Stadium
2200; Ventura County Fusion; 4-1; Fresno Fuego; Chukchansi Park
2200; San Francisco Seals; 2-0; Southern California Seahorses; La Mirada HS
2205; Spokane Spiders; 1-5; Yakima Reds; Marquette Stadium
2230; Lancaster Rattlers; 2-1; Bakersfield Brigade; Bakersfield Christian HS
2235; Tacoma Tide; 1-2; Cascade Surge; McCulloch Stadium (WU)

Date: 6/22/2008
1600; Vancouver Whitecaps Residency; 4-1; Abbotsford Mariners; Bateman Park
1600; Springfield Demize; 1-2; Colorado Rapids U-23; Pleasant View Field
1600; Ottawa Fury; 1-4; Cape Cod Crusaders; Whitman-Hanson HS
2005; Cascade Surge; 2-0; Yakima Reds; Marquette Stadium
2205; Orange County Blue Star; 2-2; San Fernando Valley Quakes; Calabasas High School

Date: 6/25/2008
1900; Michigan Bucks; 2-1; Chicago Fire Premier; Toyota Park
2000; Long Island Rough Riders; 1-0; Brooklyn Knights; Aviator Field
2000; Ocean City Barons; 1-1; Newark Ironbound Express; NJIT Stadium
2030; Mississippi Brilla; 2-1; New Orleans Jesters; Tad Gormley Stadium
2200; Orange County Blue Star; 0-1; Southern California Seahorses; La Mirada HS

Date: 6/26/2008
1900; Toronto Lynx; 2-0; West Michigan Edge; Kentwood High School
1930; Virginia Legacy; 0-3; Reading Rage; Exeter High School
1930; Rhode Island Stingrays; 2-0; New Hampshire Phantoms; Southern New Hampshire University
2200; BYU Cougars; 1-0; Spokane Spiders; Spokane Falls CC

Date: 6/27/2008
1700; Bradenton Academics; 5-2; Atlanta Silverbacks U23's; RE/MAX Greater Atlanta Stadium
1900; Cincinnati Kings; 1-5; Cleveland Internationals; St. Edwards High School
1930; West Virginia Chaos; 0-5; Indiana Invaders; Indiana Invaders Soccer Complex
2000; Cary Clarets; 1-0; Nashville Metros; Ezell Park Stadium
2000; Palm Beach Pumas; 0-7; Panama City Pirates; Gavlak Stadium
2000; Des Moines Menace; 2-1; Kansas City Brass; William Jewell College
2030; El Paso Patriots; 2-1; Austin Aztex U23s; Dragon Stadium - Round Rock
