Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
5/1/2001	CD Guadalajara Chivas - Mexico	Los Angeles Galaxy	1	2	30,000	Friendly	FDLY			As Scored	0	0	
5/12/2001	Miami Fusion	Fulham - England	0	5	100	Friendly	FDLY			As Scored	0	0	
5/16/2001	Tampa Bay Mutiny	Fulham - England	0	2	2,311	Friendly	FDLY			As Scored	0	0	
5/23/2001	DC United	Bayer Leverkusen - Germany	3	4	12,098	Friendly	FDLY			As Scored	0	0	
5/28/2001	MetroStars	Bayern Munich - Germany	2	0	30,253	Friendly	FDLY			As Scored	0	0	
5/29/2001	Columbus Crew	Bayer Leverkusen - Germany	4	3	9,389	Friendly	FDLY			As Scored	0	0	
2/11/2002	Oscar's FC - Brazil	New England Revolution	1	4	0	Friendly	FDLY			As Scored	0	0	
2/19/2002	Magallanes - Chile	Los Angeles Galaxy	1	3	1	Friendly	FDLY	70 minute game		As Scored	0	0	
2/20/2002	Benfica - Portugal	Chicago Fire	0	2	1	Friendly	FDLY			As Scored	0	0	
2/21/2002	Colo Colo - Chile	Los Angeles Galaxy	2	2	1	Friendly	FDLY			As Scored	0	0	
2/22/2002	Universidad de Chile - Chile	Los Angeles Galaxy	0	2	1	Friendly	FDLY			As Scored	0	0	
2/25/2002	Universidad Catolica - Chile	Los Angeles Galaxy	0	1	1	Friendly	FDLY			As Scored	0	0	
2/27/2002	San Felipe - Chile	Los Angeles Galaxy	0	3	1	Friendly	FDLY			As Scored	0	0	
3/1/2002	Colo Colo - Chile	Dallas Burn	2	4	0	Friendly	FDLY			As Scored	0	0	
3/4/2002	Universidad de Chile - Chile	Dallas Burn	1	2	0	Friendly	FDLY			As Scored	0	0	
3/5/2002	Benfica - Portugal	Colorado Rapids	0	4	1	Friendly	FDLY			As Scored	0	0	
3/6/2002	Benfica - Portugal	New England Revolution	1	0	0	Friendly	FDLY			As Scored	0	0	
3/12/2002	Los Angeles Galaxy	Cruz Azul - Mexico	1	0	7,800	Friendly	FDLY			As Scored	0	0	
3/13/2002	Dallas Burn	W. Connection FC - Trinidad	3	0	0	Friendly	FDLY			As Scored	0	0	
3/13/2002	CD Guadalajara Chivas - Mexico	Columbus Crew	1	3	0	Friendly	FDLY			As Scored	0	0	
5/8/2002	Los Angeles Galaxy	Aguila - El Salvador	3	0	0	Friendly	FDLY			As Scored	0	0	
5/15/2002	Columbus Crew	FC Nurnberg - Germany	7	2	8,259	Friendly	FDLY		Prus, Alex	As Scored	0	0	
5/16/2002	MetroStars	AC Milan - Italy	1	1	30,659	Friendly	FDLY			As Scored	0	0	
6/19/2002	MetroStars	Boca Juniors - Argentina	3	2	0	Friendly	FDLY			As Scored	0	0	
6/23/2002	DC United	Boca Juniors - Argentina	0	0	15,119	Friendly	FDLY			As Scored	0	0	
6/25/2002	Columbus Crew	Club Tigres - Mexico	1	2	1	Friendly	FDLY			As Scored	0	0	
8/14/2002	MetroStars	CD Guadalajara Chivas - Mexico	1	3	0	Friendly	FDLY			As Scored	0	0	
10/26/2002	Dallas Burn	Olympia - Honduras	0	0	1	Friendly	FDLY	Dallas wins 6-5 on PK's Pan American Life Cup		Home Win	0	0	
10/26/2002	DC United	CD Aguila - El Salvador	4	0	17,453	Friendly	FDLY			As Scored	0	0	
11/6/2002	Los Angeles Galaxy	Santos Laguna - Mexico	1	1	0	Friendly	FDLY			As Scored	0	0	
2/19/2003	Palmeiras - Brazil	New England Revolution	2	1	100	Friendly	FDLY			As Scored	0	0	
2/20/2003	Sporting Lisbon XI - Portugal	Columbus Crew	2	1	1	Friendly	FDLY			As Scored	0	0	
3/12/2003	Santos - Mexico	Colorado Rapids	0	2	6,122	Friendly	FDLY			As Scored	0	0	
3/15/2003	Colo Colo - Chile	Dallas Burn	1	5	1	Friendly	FDLY			As Scored	0	0	
3/18/2003	Atlas - Mexico	Colorado Rapids	0	0	1	Friendly	FDLY			As Scored	0	0	
3/18/2003	Universidad de Chile - Chile	Dallas Burn	0	2	100	Friendly	FDLY			As Scored	0	0	
3/19/2003	Boca Juniors - Argentina	MetroStars	0	1	100	Friendly	FDLY			As Scored	0	0	
3/20/2003	Oro - Mexico	Colorado Rapids	0	3	0	Friendly	FDLY			As Scored	0	0	
3/21/2003	CD Guadalajara Chivas - Mexico	Colorado Rapids	2	1	1	Friendly	FDLY	60 min. game		As Scored	0	0	
3/23/2003	Colo Colo - Chile	Dallas Burn	1	1	0	Friendly	FDLY			As Scored	0	0	
3/24/2003	Tapatio - Mexico	Colorado Rapids	2	0	1	Friendly	FDLY			As Scored	0	0	
3/25/2003	Palestino - Chile	Dallas Burn	1	4	1	Friendly	FDLY			As Scored	0	0	
3/26/2003	UAG - Mexico	Colorado Rapids	2	1	1	Friendly	FDLY			As Scored	0	0	
3/27/2003	Boca Juniors - Argentina	MetroStars	2	1	100	Friendly	FDLY			As Scored	0	0	
5/14/2003	DC United	Tottenham Hotspur - England	1	0	14,028	Friendly	FDLY			As Scored	0	0	
10/14/2003	San Jose Earthquakes	CD Guadalajara Chivas - Mexico	0	2	12,195	Friendly	FDLY			As Scored	0	0	
10/15/2003	Colorado Rapids	Guatemala NT	3	1	5,183	Friendly	FDLY			As Scored	0	0	
12/3/2004	Los Angeles Galaxy	Necaxa - Mexico	3	1	8,049	Friendly	FDLY			As Scored	0	0	
