,"id","nm","makecoef.2500.","makecoef.5000.","makecoef.10000.","makecoef.20000.","makecoef.40000.","makecoef.80000."
321,327,"pat-noonan",-0.06,-0.04,-0.03,-0.02,-0.01,0
331,902,"michael-zaher",-0.09,-0.05,-0.03,-0.02,-0.01,-0.01
742,85,"je-vaughn-watson",-0.11,-0.06,-0.03,-0.02,-0.01,0
400,393,"pablo-vitti",-0.08,-0.05,-0.03,-0.02,-0.01,-0.01
723,138,"joao-plata-cotera",0.03,0,-0.01,-0.02,-0.01,-0.01
429,371,"milos-kocic",-0.12,-0.06,-0.03,-0.02,-0.01,-0.01
135,58,"drew-moor",-0.12,-0.07,-0.04,-0.02,-0.01,0
660,762,"jay-nolly",-0.04,-0.03,-0.02,-0.02,-0.01,-0.01
716,689,"ricardo-villar",-0.07,-0.05,-0.03,-0.02,-0.01,0
332,275,"brian-mcbride",-0.11,-0.07,-0.04,-0.02,0,0
709,793,"alan-stevanovic",-0.02,-0.02,-0.02,-0.02,-0.01,-0.01
523,44,"andy-najar",0.02,0,-0.01,-0.02,-0.01,-0.01
548,861,"cristian-arrieta",-0.02,-0.02,-0.02,-0.02,-0.01,-0.01
314,821,"zach-thornton",-0.05,-0.03,-0.02,-0.02,-0.01,-0.01
456,316,"julien-baudet",-0.09,-0.05,-0.03,-0.02,-0.01,0
148,471,"laurent-robert",-0.07,-0.05,-0.03,-0.02,-0.01,-0.01
496,669,"amobi-okugo",-0.07,-0.04,-0.03,-0.02,-0.01,-0.01
7,379,"jay-heaps",-0.16,-0.08,-0.04,-0.02,-0.01,-0.01
646,213,"rich-balchan",-0.08,-0.05,-0.03,-0.02,-0.01,-0.01
418,160,"mike-chabala",-0.01,-0.02,-0.02,-0.02,-0.01,-0.01
20,400,"richard-mulrooney",-0.14,-0.08,-0.04,-0.02,-0.01,0
504,749,"danny-earls",-0.13,-0.07,-0.04,-0.02,-0.01,0
439,323,"cornell-glen",-0.06,-0.04,-0.03,-0.02,-0.01,-0.01
157,332,"seth-stammler",-0.01,-0.02,-0.02,-0.02,-0.01,-0.01
4,94,"shalrie-joseph",0.09,0.03,0,-0.02,-0.02,-0.02
255,178,"conor-casey",-0.12,-0.07,-0.04,-0.02,-0.01,0
236,403,"taylor-twellman",-0.09,-0.06,-0.03,-0.02,-0.01,-0.01
50,281,"fred",-0.06,-0.04,-0.03,-0.02,-0.01,-0.01
409,177,"danny-cruz",-0.09,-0.06,-0.04,-0.02,-0.01,0
751,200,"austin-da-luz",-0.11,-0.07,-0.04,-0.02,-0.01,0
657,146,"gershon-koffie",0.01,-0.01,-0.02,-0.02,-0.02,-0.01
90,483,"stefani-miglioranzi",-0.12,-0.07,-0.04,-0.02,-0.01,0
531,254,"leonardo",-0.18,-0.1,-0.05,-0.02,-0.01,0
477,734,"yamith-cuesta",-0.1,-0.06,-0.03,-0.02,-0.01,-0.01
656,145,"eric-hassli",-0.01,-0.02,-0.02,-0.02,-0.02,-0.01
97,892,"brian-edwards",-0.07,-0.05,-0.03,-0.02,-0.01,-0.01
63,342,"chris-wingert",-0.17,-0.11,-0.05,-0.02,0,0
541,234,"lovel-palmer",-0.04,-0.04,-0.03,-0.02,-0.01,-0.01
109,427,"marcelo-saragosa",-0.05,-0.04,-0.03,-0.02,-0.01,-0.01
395,383,"darrius-barnes",0.03,0,-0.02,-0.02,-0.02,-0.02
394,139,"kevin-alston",0.03,0,-0.01,-0.02,-0.02,-0.02
46,238,"marc-burch",-0.08,-0.05,-0.03,-0.02,-0.01,-0.01
563,183,"ben-zemanski",-0.12,-0.07,-0.04,-0.02,-0.01,-0.01
388,389,"daniel-torres",-0.11,-0.07,-0.04,-0.02,-0.01,-0.01
538,292,"kenny-mansally",-0.02,-0.03,-0.03,-0.02,-0.02,-0.01
115,422,"jonathan-bornstein",-0.13,-0.07,-0.04,-0.02,-0.01,-0.01
688,256,"gaston-puerari",-0.14,-0.08,-0.04,-0.02,-0.01,-0.01
422,351,"chukwudi-chijindu",-0.14,-0.08,-0.04,-0.02,-0.01,-0.01
426,698,"rauwshan-mckenzie",-0.1,-0.07,-0.04,-0.02,-0.01,-0.01
647,737,"dejan-rusmir",-0.15,-0.08,-0.04,-0.02,-0.01,-0.01
265,872,"preston-burpo",-0.02,-0.03,-0.03,-0.02,-0.02,-0.01
243,405,"amado-guevara",-0.05,-0.04,-0.03,-0.02,-0.02,-0.01
